timestep,metrics,total_pos_label
2,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 18), ('True Positives', 0), ('Accuracy', 0.9838854073410922), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9838854073410922), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 18, 0)), ('ROC_AUC', 0.9882216156101508), ('AUCPR', 0.4472928032732608)]",18
3,"[('True Negtaives', 1268), ('False Positives', 0), ('False Negtaives', 11), ('True Positives', 0), ('Accuracy', 0.9913995308835027), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9913995308835027), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1268, 0, 11, 0)), ('ROC_AUC', 0.6241755090335532), ('AUCPR', 0.26342107152437055)]",11
4,"[('True Negtaives', 1410), ('False Positives', 0), ('False Negtaives', 23), ('True Positives', 7), ('Accuracy', 0.9840277777777777), ('Precision', 1.0), ('Recall', 0.23333333333333334), ('F1 Score', 0.37837837837837834), ('Specificity', 1.0), ('NPV', 0.9839497557571528), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.47915370847290295), ('Confusion Matrix', (1410, 0, 23, 7)), ('ROC_AUC', 0.8063238770685579), ('AUCPR', 0.5976047992788637)]",30
5,"[('True Negtaives', 1874), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 2), ('Accuracy', 0.9968119022316685), ('Precision', 1.0), ('Recall', 0.25), ('F1 Score', 0.4), ('Specificity', 1.0), ('NPV', 0.9968085106382979), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4992014900414205), ('Confusion Matrix', (1874, 0, 6, 2)), ('ROC_AUC', 0.7381937033084311), ('AUCPR', 0.26434784535711997)]",8
6,"[('True Negtaives', 480), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9896907216494846), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9896907216494846), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (480, 0, 5, 0)), ('ROC_AUC', 0.6895833333333333), ('AUCPR', 0.0684694496355243)]",5
7,"[('True Negtaives', 1101), ('False Positives', 0), ('False Negtaives', 102), ('True Positives', 0), ('Accuracy', 0.9152119700748129), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9152119700748129), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1101, 0, 102, 0)), ('ROC_AUC', 0.802171822407437), ('AUCPR', 0.332306175836401)]",102
8,"[('True Negtaives', 1095), ('False Positives', 3), ('False Negtaives', 23), ('True Positives', 44), ('Accuracy', 0.9776824034334763), ('Precision', 0.9361702127659575), ('Recall', 0.6567164179104478), ('F1 Score', 0.7719298245614035), ('Specificity', 0.9972677595628415), ('NPV', 0.9794275491949911), ('FPR', 0.00273224043715847), ('FDR', 0.06382978723404255), ('MCC', 0.7738129291065221), ('Confusion Matrix', (1095, 3, 23, 44)), ('ROC_AUC', 0.9756409210776718), ('AUCPR', 0.8763208163612298)]",67
9,"[('True Negtaives', 529), ('False Positives', 1), ('False Negtaives', 27), ('True Positives', 221), ('Accuracy', 0.9640102827763496), ('Precision', 0.9954954954954955), ('Recall', 0.8911290322580645), ('F1 Score', 0.9404255319148936), ('Specificity', 0.9981132075471698), ('NPV', 0.9514388489208633), ('FPR', 0.0018867924528301887), ('FDR', 0.0045045045045045045), ('MCC', 0.9176350131600821), ('Confusion Matrix', (529, 1, 27, 221)), ('ROC_AUC', 0.9902008520998173), ('AUCPR', 0.9885016511578669)]",248
10,"[('True Negtaives', 952), ('False Positives', 2), ('False Negtaives', 5), ('True Positives', 13), ('Accuracy', 0.992798353909465), ('Precision', 0.8666666666666667), ('Recall', 0.7222222222222222), ('F1 Score', 0.7878787878787877), ('Specificity', 0.9979035639412998), ('NPV', 0.9947753396029259), ('FPR', 0.0020964360587002098), ('FDR', 0.13333333333333333), ('MCC', 0.7876208491394651), ('Confusion Matrix', (952, 2, 5, 13)), ('ROC_AUC', 0.9841020265548567), ('AUCPR', 0.819010736185092)]",18
11,"[('True Negtaives', 565), ('False Positives', 0), ('False Negtaives', 25), ('True Positives', 106), ('Accuracy', 0.9640804597701149), ('Precision', 1.0), ('Recall', 0.8091603053435115), ('F1 Score', 0.8945147679324894), ('Specificity', 1.0), ('NPV', 0.9576271186440678), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.880269192762794), ('Confusion Matrix', (565, 0, 25, 106)), ('ROC_AUC', 0.9965412416402081), ('AUCPR', 0.9882959016137608)]",131
12,"[('True Negtaives', 490), ('False Positives', 0), ('False Negtaives', 2), ('True Positives', 14), ('Accuracy', 0.9960474308300395), ('Precision', 1.0), ('Recall', 0.875), ('F1 Score', 0.9333333333333333), ('Specificity', 1.0), ('NPV', 0.9959349593495935), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9335111619208923), ('Confusion Matrix', (490, 0, 2, 14)), ('ROC_AUC', 0.9151785714285714), ('AUCPR', 0.8789525691699605)]",16
13,"[('True Negtaives', 518), ('False Positives', 0), ('False Negtaives', 29), ('True Positives', 262), ('Accuracy', 0.9641532756489494), ('Precision', 1.0), ('Recall', 0.9003436426116839), ('F1 Score', 0.9475587703435805), ('Specificity', 1.0), ('NPV', 0.946983546617916), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9233691655320238), ('Confusion Matrix', (518, 0, 29, 262)), ('ROC_AUC', 0.988377184253473), ('AUCPR', 0.9884493472508326)]",291
14,"[('True Negtaives', 371), ('False Positives', 3), ('False Negtaives', 5), ('True Positives', 38), ('Accuracy', 0.9808153477218226), ('Precision', 0.926829268292683), ('Recall', 0.8837209302325582), ('F1 Score', 0.9047619047619047), ('Specificity', 0.9919786096256684), ('NPV', 0.9867021276595744), ('FPR', 0.008021390374331552), ('FDR', 0.07317073170731707), ('MCC', 0.8944154644690773), ('Confusion Matrix', (371, 3, 5, 38)), ('ROC_AUC', 0.9695933341624177), ('AUCPR', 0.930934276793401)]",43
15,"[('True Negtaives', 471), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 141), ('Accuracy', 0.9902912621359223), ('Precision', 1.0), ('Recall', 0.9591836734693877), ('F1 Score', 0.9791666666666666), ('Specificity', 1.0), ('NPV', 0.9874213836477987), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9732001181820322), ('Confusion Matrix', (471, 0, 6, 141)), ('ROC_AUC', 0.9980212891950836), ('AUCPR', 0.9963649967409366)]",147
16,"[('True Negtaives', 402), ('False Positives', 0), ('False Negtaives', 9), ('True Positives', 119), ('Accuracy', 0.9830188679245283), ('Precision', 1.0), ('Recall', 0.9296875), ('F1 Score', 0.9635627530364372), ('Specificity', 1.0), ('NPV', 0.9781021897810219), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.953587636015717), ('Confusion Matrix', (402, 0, 9, 119)), ('ROC_AUC', 0.9854730254975126), ('AUCPR', 0.9807324338792235)]",128
17,"[('True Negtaives', 711), ('False Positives', 1), ('False Negtaives', 16), ('True Positives', 83), ('Accuracy', 0.9790382244143033), ('Precision', 0.9880952380952381), ('Recall', 0.8383838383838383), ('F1 Score', 0.907103825136612), ('Specificity', 0.9985955056179775), ('NPV', 0.9779917469050894), ('FPR', 0.0014044943820224719), ('FDR', 0.011904761904761904), ('MCC', 0.8992190227938165), ('Confusion Matrix', (711, 1, 16, 83)), ('ROC_AUC', 0.9957155827942344), ('AUCPR', 0.984977727853132)]",99
18,"[('True Negtaives', 336), ('False Positives', 1), ('False Negtaives', 6), ('True Positives', 46), ('Accuracy', 0.9820051413881749), ('Precision', 0.9787234042553191), ('Recall', 0.8846153846153846), ('F1 Score', 0.9292929292929293), ('Specificity', 0.9970326409495549), ('NPV', 0.9824561403508771), ('FPR', 0.002967359050445104), ('FDR', 0.02127659574468085), ('MCC', 0.9205552931331504), ('Confusion Matrix', (336, 1, 6, 46)), ('ROC_AUC', 0.9988016434603972), ('AUCPR', 0.992770219926529)]",52
19,"[('True Negtaives', 660), ('False Positives', 5), ('False Negtaives', 10), ('True Positives', 70), ('Accuracy', 0.9798657718120806), ('Precision', 0.9333333333333333), ('Recall', 0.875), ('F1 Score', 0.9032258064516129), ('Specificity', 0.9924812030075187), ('NPV', 0.9850746268656716), ('FPR', 0.007518796992481203), ('FDR', 0.06666666666666667), ('MCC', 0.8925814484768962), ('Confusion Matrix', (660, 5, 10, 70)), ('ROC_AUC', 0.9675375939849624), ('AUCPR', 0.918752092997205)]",80
20,"[('True Negtaives', 638), ('False Positives', 2), ('False Negtaives', 55), ('True Positives', 205), ('Accuracy', 0.9366666666666666), ('Precision', 0.9903381642512077), ('Recall', 0.7884615384615384), ('F1 Score', 0.8779443254817988), ('Specificity', 0.996875), ('NPV', 0.9206349206349206), ('FPR', 0.003125), ('FDR', 0.00966183574879227), ('MCC', 0.845825306500167), ('Confusion Matrix', (638, 2, 55, 205)), ('ROC_AUC', 0.9471784855769232), ('AUCPR', 0.9300972081289625)]",260
21,"[('True Negtaives', 533), ('False Positives', 8), ('False Negtaives', 12), ('True Positives', 88), ('Accuracy', 0.968798751950078), ('Precision', 0.9166666666666666), ('Recall', 0.88), ('F1 Score', 0.8979591836734694), ('Specificity', 0.9852125693160814), ('NPV', 0.9779816513761468), ('FPR', 0.014787430683918669), ('FDR', 0.08333333333333333), ('MCC', 0.879807348166707), ('Confusion Matrix', (533, 8, 12, 88)), ('ROC_AUC', 0.9803881700554529), ('AUCPR', 0.934419501907328)]",100
22,"[('True Negtaives', 1601), ('False Positives', 4), ('False Negtaives', 17), ('True Positives', 141), ('Accuracy', 0.9880884855360181), ('Precision', 0.9724137931034482), ('Recall', 0.8924050632911392), ('F1 Score', 0.9306930693069307), ('Specificity', 0.9975077881619938), ('NPV', 0.9894932014833128), ('FPR', 0.0024922118380062306), ('FDR', 0.027586206896551724), ('MCC', 0.9252099201723996), ('Confusion Matrix', (1601, 4, 17, 141)), ('ROC_AUC', 0.9892720533144052), ('AUCPR', 0.9614214264648694)]",158
23,"[('True Negtaives', 1127), ('False Positives', 7), ('False Negtaives', 28), ('True Positives', 25), ('Accuracy', 0.970513900589722), ('Precision', 0.78125), ('Recall', 0.4716981132075472), ('F1 Score', 0.588235294117647), ('Specificity', 0.9938271604938271), ('NPV', 0.9757575757575757), ('FPR', 0.006172839506172839), ('FDR', 0.21875), ('MCC', 0.5936380706276841), ('Confusion Matrix', (1127, 7, 28, 25)), ('ROC_AUC', 0.8701124754583873), ('AUCPR', 0.6299649744043578)]",53
24,"[('True Negtaives', 989), ('False Positives', 0), ('False Negtaives', 105), ('True Positives', 32), ('Accuracy', 0.9067495559502664), ('Precision', 1.0), ('Recall', 0.23357664233576642), ('F1 Score', 0.378698224852071), ('Specificity', 1.0), ('NPV', 0.9040219378427788), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.45951975892140834), ('Confusion Matrix', (989, 0, 105, 32)), ('ROC_AUC', 0.9248595868421247), ('AUCPR', 0.7886105739133873)]",137
25,"[('True Negtaives', 476), ('False Positives', 0), ('False Negtaives', 18), ('True Positives', 100), ('Accuracy', 0.9696969696969697), ('Precision', 1.0), ('Recall', 0.847457627118644), ('F1 Score', 0.9174311926605504), ('Specificity', 1.0), ('NPV', 0.9635627530364372), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.903647389343967), ('Confusion Matrix', (476, 0, 18, 100)), ('ROC_AUC', 0.9970267768124199), ('AUCPR', 0.9900055030071055)]",118
26,"[('True Negtaives', 416), ('False Positives', 5), ('False Negtaives', 24), ('True Positives', 72), ('Accuracy', 0.9439071566731141), ('Precision', 0.935064935064935), ('Recall', 0.75), ('F1 Score', 0.8323699421965318), ('Specificity', 0.9881235154394299), ('NPV', 0.9454545454545454), ('FPR', 0.011876484560570071), ('FDR', 0.06493506493506493), ('MCC', 0.8061836852566168), ('Confusion Matrix', (416, 5, 24, 72)), ('ROC_AUC', 0.9624158749010293), ('AUCPR', 0.9099303453219051)]",96
27,"[('True Negtaives', 182), ('False Positives', 0), ('False Negtaives', 1), ('True Positives', 23), ('Accuracy', 0.9951456310679612), ('Precision', 1.0), ('Recall', 0.9583333333333334), ('F1 Score', 0.9787234042553191), ('Specificity', 1.0), ('NPV', 0.994535519125683), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9762666332319839), ('Confusion Matrix', (182, 0, 1, 23)), ('ROC_AUC', 0.9945054945054945), ('AUCPR', 0.9791666666666666)]",24
28,"[('True Negtaives', 199), ('False Positives', 0), ('False Negtaives', 1), ('True Positives', 84), ('Accuracy', 0.9964788732394366), ('Precision', 1.0), ('Recall', 0.9882352941176471), ('F1 Score', 0.9940828402366864), ('Specificity', 1.0), ('NPV', 0.995), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.991611878532654), ('Confusion Matrix', (199, 0, 1, 84)), ('ROC_AUC', 0.9998817617499262), ('AUCPR', 0.9997295469912102)]",85
29,"[('True Negtaives', 839), ('False Positives', 6), ('False Negtaives', 185), ('True Positives', 144), ('Accuracy', 0.8373083475298126), ('Precision', 0.96), ('Recall', 0.4376899696048632), ('F1 Score', 0.6012526096033403), ('Specificity', 0.9928994082840237), ('NPV', 0.8193359375), ('FPR', 0.007100591715976331), ('FDR', 0.04), ('MCC', 0.5792873004775587), ('Confusion Matrix', (839, 6, 185, 144)), ('ROC_AUC', 0.983527274689304), ('AUCPR', 0.9549781656132554)]",329
30,"[('True Negtaives', 440), ('False Positives', 1), ('False Negtaives', 15), ('True Positives', 68), ('Accuracy', 0.9694656488549618), ('Precision', 0.9855072463768116), ('Recall', 0.8192771084337349), ('F1 Score', 0.8947368421052633), ('Specificity', 0.9977324263038548), ('NPV', 0.967032967032967), ('FPR', 0.0022675736961451248), ('FDR', 0.014492753623188406), ('MCC', 0.8821759669004636), ('Confusion Matrix', (440, 1, 15, 68)), ('ROC_AUC', 0.9828702565363494), ('AUCPR', 0.9566746540995156)]",83
31,"[('True Negtaives', 595), ('False Positives', 9), ('False Negtaives', 52), ('True Positives', 54), ('Accuracy', 0.9140845070422535), ('Precision', 0.8571428571428571), ('Recall', 0.5094339622641509), ('F1 Score', 0.6390532544378698), ('Specificity', 0.9850993377483444), ('NPV', 0.919629057187017), ('FPR', 0.014900662251655629), ('FDR', 0.14285714285714285), ('MCC', 0.619789946796958), ('Confusion Matrix', (595, 9, 52, 54)), ('ROC_AUC', 0.6268274397101086), ('AUCPR', 0.5981152206074702)]",106
