timestep,metrics,total_pos_label
2,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 18), ('True Positives', 0), ('Accuracy', 0.9838854073410922), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9838854073410922), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 18, 0)), ('ROC_AUC', 0.6510969568294409), ('AUCPR', 0.11089159091910875)]",18
3,"[('True Negtaives', 1268), ('False Positives', 0), ('False Negtaives', 11), ('True Positives', 0), ('Accuracy', 0.9913995308835027), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9913995308835027), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1268, 0, 11, 0)), ('ROC_AUC', 0.8880843131631776), ('AUCPR', 0.3295647552735657)]",11
4,"[('True Negtaives', 1410), ('False Positives', 0), ('False Negtaives', 23), ('True Positives', 7), ('Accuracy', 0.9840277777777777), ('Precision', 1.0), ('Recall', 0.23333333333333334), ('F1 Score', 0.37837837837837834), ('Specificity', 1.0), ('NPV', 0.9839497557571528), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.47915370847290295), ('Confusion Matrix', (1410, 0, 23, 7)), ('ROC_AUC', 0.9115366430260047), ('AUCPR', 0.6658672924340634)]",30
5,"[('True Negtaives', 1874), ('False Positives', 0), ('False Negtaives', 7), ('True Positives', 1), ('Accuracy', 0.9962805526036131), ('Precision', 1.0), ('Recall', 0.125), ('F1 Score', 0.2222222222222222), ('Specificity', 1.0), ('NPV', 0.9962785752259437), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.35289491623320807), ('Confusion Matrix', (1874, 0, 7, 1)), ('ROC_AUC', 0.8655616328708645), ('AUCPR', 0.29992488826039376)]",8
6,"[('True Negtaives', 480), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9896907216494846), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9896907216494846), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (480, 0, 5, 0)), ('ROC_AUC', 0.4608333333333333), ('AUCPR', 0.010227620700214352)]",5
7,"[('True Negtaives', 1101), ('False Positives', 0), ('False Negtaives', 31), ('True Positives', 71), ('Accuracy', 0.9742310889443059), ('Precision', 1.0), ('Recall', 0.696078431372549), ('F1 Score', 0.8208092485549133), ('Specificity', 1.0), ('NPV', 0.9726148409893993), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8228099494084659), ('Confusion Matrix', (1101, 0, 31, 71)), ('ROC_AUC', 0.9180379690477463), ('AUCPR', 0.8212198189875506)]",102
8,"[('True Negtaives', 1098), ('False Positives', 0), ('False Negtaives', 19), ('True Positives', 48), ('Accuracy', 0.9836909871244636), ('Precision', 1.0), ('Recall', 0.7164179104477612), ('F1 Score', 0.8347826086956522), ('Specificity', 1.0), ('NPV', 0.9829901521933752), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8391851707609618), ('Confusion Matrix', (1098, 0, 19, 48)), ('ROC_AUC', 0.9805072995677351), ('AUCPR', 0.9124605825801244)]",67
9,"[('True Negtaives', 525), ('False Positives', 5), ('False Negtaives', 27), ('True Positives', 221), ('Accuracy', 0.9588688946015425), ('Precision', 0.9778761061946902), ('Recall', 0.8911290322580645), ('F1 Score', 0.9324894514767932), ('Specificity', 0.9905660377358491), ('NPV', 0.9510869565217391), ('FPR', 0.009433962264150943), ('FDR', 0.022123893805309734), ('MCC', 0.9050205260675155), ('Confusion Matrix', (525, 5, 27, 221)), ('ROC_AUC', 0.9934228545343884), ('AUCPR', 0.9905963944444607)]",248
10,"[('True Negtaives', 954), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 12), ('Accuracy', 0.9938271604938271), ('Precision', 1.0), ('Recall', 0.6666666666666666), ('F1 Score', 0.8), ('Specificity', 1.0), ('NPV', 0.99375), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8139410298049853), ('Confusion Matrix', (954, 0, 6, 12)), ('ROC_AUC', 0.9555089680875843), ('AUCPR', 0.8105414830660796)]",18
11,"[('True Negtaives', 565), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 107), ('Accuracy', 0.9655172413793104), ('Precision', 1.0), ('Recall', 0.816793893129771), ('F1 Score', 0.8991596638655461), ('Specificity', 1.0), ('NPV', 0.9592529711375212), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.885162114412787), ('Confusion Matrix', (565, 0, 24, 107)), ('ROC_AUC', 0.9965412416402081), ('AUCPR', 0.9908722565985755)]",131
12,"[('True Negtaives', 490), ('False Positives', 0), ('False Negtaives', 3), ('True Positives', 13), ('Accuracy', 0.9940711462450593), ('Precision', 1.0), ('Recall', 0.8125), ('F1 Score', 0.896551724137931), ('Specificity', 1.0), ('NPV', 0.9939148073022313), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8986410745859901), ('Confusion Matrix', (490, 0, 3, 13)), ('ROC_AUC', 0.9531887755102042), ('AUCPR', 0.8893118109007697)]",16
13,"[('True Negtaives', 516), ('False Positives', 2), ('False Negtaives', 32), ('True Positives', 259), ('Accuracy', 0.957972805933251), ('Precision', 0.9923371647509579), ('Recall', 0.8900343642611683), ('F1 Score', 0.9384057971014493), ('Specificity', 0.9961389961389961), ('NPV', 0.9416058394160584), ('FPR', 0.003861003861003861), ('FDR', 0.007662835249042145), ('MCC', 0.9097446951892105), ('Confusion Matrix', (516, 2, 32, 259)), ('ROC_AUC', 0.9931370988072019), ('AUCPR', 0.9910749359835868)]",291
14,"[('True Negtaives', 371), ('False Positives', 3), ('False Negtaives', 6), ('True Positives', 37), ('Accuracy', 0.9784172661870504), ('Precision', 0.925), ('Recall', 0.8604651162790697), ('F1 Score', 0.891566265060241), ('Specificity', 0.9919786096256684), ('NPV', 0.9840848806366048), ('FPR', 0.008021390374331552), ('FDR', 0.075), ('MCC', 0.8803088678489679), ('Confusion Matrix', (371, 3, 6, 37)), ('ROC_AUC', 0.9616341251088173), ('AUCPR', 0.9176267462872328)]",43
15,"[('True Negtaives', 471), ('False Positives', 0), ('False Negtaives', 19), ('True Positives', 128), ('Accuracy', 0.9692556634304207), ('Precision', 1.0), ('Recall', 0.8707482993197279), ('F1 Score', 0.9309090909090908), ('Specificity', 1.0), ('NPV', 0.9612244897959183), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.914868618848777), ('Confusion Matrix', (471, 0, 19, 128)), ('ROC_AUC', 0.998136834351575), ('AUCPR', 0.9963948575489268)]",147
16,"[('True Negtaives', 402), ('False Positives', 0), ('False Negtaives', 13), ('True Positives', 115), ('Accuracy', 0.9754716981132076), ('Precision', 1.0), ('Recall', 0.8984375), ('F1 Score', 0.9465020576131687), ('Specificity', 1.0), ('NPV', 0.9686746987951808), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.932895318188914), ('Confusion Matrix', (402, 0, 13, 115)), ('ROC_AUC', 0.9826842350746269), ('AUCPR', 0.9783951628123236)]",128
17,"[('True Negtaives', 710), ('False Positives', 2), ('False Negtaives', 9), ('True Positives', 90), ('Accuracy', 0.9864364981504316), ('Precision', 0.9782608695652174), ('Recall', 0.9090909090909091), ('F1 Score', 0.9424083769633508), ('Specificity', 0.9971910112359551), ('NPV', 0.9874826147426982), ('FPR', 0.0028089887640449437), ('FDR', 0.021739130434782608), ('MCC', 0.9355404104055232), ('Confusion Matrix', (710, 2, 9, 90)), ('ROC_AUC', 0.9931052093973441), ('AUCPR', 0.981927734218881)]",99
18,"[('True Negtaives', 337), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 46), ('Accuracy', 0.9845758354755784), ('Precision', 1.0), ('Recall', 0.8846153846153846), ('F1 Score', 0.9387755102040816), ('Specificity', 1.0), ('NPV', 0.9825072886297376), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9322773530546659), ('Confusion Matrix', (337, 0, 6, 46)), ('ROC_AUC', 0.9949212508559688), ('AUCPR', 0.9829713764496375)]",52
19,"[('True Negtaives', 662), ('False Positives', 3), ('False Negtaives', 17), ('True Positives', 63), ('Accuracy', 0.9731543624161074), ('Precision', 0.9545454545454546), ('Recall', 0.7875), ('F1 Score', 0.8630136986301369), ('Specificity', 0.9954887218045113), ('NPV', 0.9749631811487481), ('FPR', 0.004511278195488722), ('FDR', 0.045454545454545456), ('MCC', 0.8531088902176901), ('Confusion Matrix', (662, 3, 17, 63)), ('ROC_AUC', 0.9825563909774436), ('AUCPR', 0.9354719237694085)]",80
