timestep,metrics,total_pos_label
2,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 13), ('Accuracy', 0.9955237242614146), ('Precision', 1.0), ('Recall', 0.7222222222222222), ('F1 Score', 0.8387096774193548), ('Specificity', 1.0), ('NPV', 0.9954710144927537), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8479099529105473), ('Confusion Matrix', (1099, 0, 5, 13)), ('ROC_AUC', 0.9990900818926297), ('AUCPR', 0.9)]",18
3,"[('True Negtaives', 1267), ('False Positives', 1), ('False Negtaives', 4), ('True Positives', 7), ('Accuracy', 0.9960906958561376), ('Precision', 0.875), ('Recall', 0.6363636363636364), ('F1 Score', 0.7368421052631579), ('Specificity', 0.999211356466877), ('NPV', 0.996852871754524), ('FPR', 0.0007886435331230284), ('FDR', 0.125), ('MCC', 0.7443976643667308), ('Confusion Matrix', (1267, 1, 4, 7)), ('ROC_AUC', 0.9515342701462576), ('AUCPR', 0.827228141820508)]",11
4,"[('True Negtaives', 1410), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 24), ('Accuracy', 0.9958333333333333), ('Precision', 1.0), ('Recall', 0.8), ('F1 Score', 0.888888888888889), ('Specificity', 1.0), ('NPV', 0.9957627118644068), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8925302064868872), ('Confusion Matrix', (1410, 0, 6, 24)), ('ROC_AUC', 0.9492789598108747), ('AUCPR', 0.8930743243243243)]",30
5,"[('True Negtaives', 1874), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 2), ('Accuracy', 0.9968119022316685), ('Precision', 1.0), ('Recall', 0.25), ('F1 Score', 0.4), ('Specificity', 1.0), ('NPV', 0.9968085106382979), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4992014900414205), ('Confusion Matrix', (1874, 0, 6, 2)), ('ROC_AUC', 0.6794957310565636), ('AUCPR', 0.17919183585957454)]",8
6,"[('True Negtaives', 464), ('False Positives', 16), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9567010309278351), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9666666666666667), ('NPV', 0.9893390191897654), ('FPR', 0.03333333333333333), ('FDR', 1.0), ('MCC', -0.018851154527185277), ('Confusion Matrix', (464, 16, 5, 0)), ('ROC_AUC', 0.594375), ('AUCPR', 0.015782169699564367)]",5
7,"[('True Negtaives', 1098), ('False Positives', 3), ('False Negtaives', 86), ('True Positives', 16), ('Accuracy', 0.9260182876142976), ('Precision', 0.8421052631578947), ('Recall', 0.1568627450980392), ('F1 Score', 0.2644628099173554), ('Specificity', 0.997275204359673), ('NPV', 0.9273648648648649), ('FPR', 0.0027247956403269754), ('FDR', 0.15789473684210525), ('MCC', 0.3443901097627391), ('Confusion Matrix', (1098, 3, 86, 16)), ('ROC_AUC', 0.8955673095759646), ('AUCPR', 0.7532246034366138)]",102
8,"[('True Negtaives', 1097), ('False Positives', 1), ('False Negtaives', 52), ('True Positives', 15), ('Accuracy', 0.9545064377682403), ('Precision', 0.9375), ('Recall', 0.22388059701492538), ('F1 Score', 0.3614457831325301), ('Specificity', 0.9990892531876139), ('NPV', 0.9547432550043516), ('FPR', 0.0009107468123861566), ('FDR', 0.0625), ('MCC', 0.44603065467806835), ('Confusion Matrix', (1097, 1, 52, 15)), ('ROC_AUC', 0.8846545958730936), ('AUCPR', 0.7608032013453798)]",67
9,"[('True Negtaives', 521), ('False Positives', 9), ('False Negtaives', 7), ('True Positives', 241), ('Accuracy', 0.9794344473007712), ('Precision', 0.964), ('Recall', 0.9717741935483871), ('F1 Score', 0.9678714859437753), ('Specificity', 0.9830188679245283), ('NPV', 0.9867424242424242), ('FPR', 0.016981132075471698), ('FDR', 0.036), ('MCC', 0.9527655902238522), ('Confusion Matrix', (521, 9, 7, 241)), ('ROC_AUC', 0.9953971393791844), ('AUCPR', 0.9895379448176824)]",248
10,"[('True Negtaives', 941), ('False Positives', 13), ('False Negtaives', 3), ('True Positives', 15), ('Accuracy', 0.9835390946502057), ('Precision', 0.5357142857142857), ('Recall', 0.8333333333333334), ('F1 Score', 0.6521739130434783), ('Specificity', 0.9863731656184487), ('NPV', 0.996822033898305), ('FPR', 0.013626834381551363), ('FDR', 0.4642857142857143), ('MCC', 0.6606992372587576), ('Confusion Matrix', (941, 13, 3, 15)), ('ROC_AUC', 0.9805788492895411), ('AUCPR', 0.7313897561131839)]",18
11,"[('True Negtaives', 565), ('False Positives', 0), ('False Negtaives', 15), ('True Positives', 116), ('Accuracy', 0.978448275862069), ('Precision', 1.0), ('Recall', 0.8854961832061069), ('F1 Score', 0.9392712550607287), ('Specificity', 1.0), ('NPV', 0.9741379310344828), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9287601519484608), ('Confusion Matrix', (565, 0, 15, 116)), ('ROC_AUC', 0.9971086941836114), ('AUCPR', 0.9906791188078921)]",131
