timestep,metrics,total_pos_label
2,"[('True Negtaives', 1098), ('False Positives', 1), ('False Negtaives', 1), ('True Positives', 17), ('Accuracy', 0.9982094897045658), ('Precision', 0.9444444444444444), ('Recall', 0.9444444444444444), ('F1 Score', 0.9444444444444444), ('Specificity', 0.9990900818926297), ('NPV', 0.9990900818926297), ('FPR', 0.0009099181073703367), ('FDR', 0.05555555555555555), ('MCC', 0.9435345263370741), ('Confusion Matrix', (1098, 1, 1, 17)), ('ROC_AUC', 0.9986351228389445), ('AUCPR', 0.8571428571428571)]",18
3,"[('True Negtaives', 1268), ('False Positives', 0), ('False Negtaives', 1), ('True Positives', 10), ('Accuracy', 0.9992181391712275), ('Precision', 1.0), ('Recall', 0.9090909090909091), ('F1 Score', 0.9523809523809523), ('Specificity', 1.0), ('NPV', 0.9992119779353822), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9530868404273568), ('Confusion Matrix', (1268, 0, 1, 10)), ('ROC_AUC', 0.9534341841124176), ('AUCPR', 0.7583576184045301)]",11
4,"[('True Negtaives', 1410), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 24), ('Accuracy', 0.9958333333333333), ('Precision', 1.0), ('Recall', 0.8), ('F1 Score', 0.888888888888889), ('Specificity', 1.0), ('NPV', 0.9957627118644068), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8925302064868872), ('Confusion Matrix', (1410, 0, 6, 24)), ('ROC_AUC', 0.9829196217494091), ('AUCPR', 0.9548611111111112)]",30
5,"[('True Negtaives', 1874), ('False Positives', 0), ('False Negtaives', 7), ('True Positives', 1), ('Accuracy', 0.9962805526036131), ('Precision', 1.0), ('Recall', 0.125), ('F1 Score', 0.2222222222222222), ('Specificity', 1.0), ('NPV', 0.9962785752259437), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.35289491623320807), ('Confusion Matrix', (1874, 0, 7, 1)), ('ROC_AUC', 0.7457310565635005), ('AUCPR', 0.2608250322118547)]",8
6,"[('True Negtaives', 480), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9896907216494846), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9896907216494846), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (480, 0, 5, 0)), ('ROC_AUC', 0.89875), ('AUCPR', 0.8020618556701031)]",5
7,"[('True Negtaives', 1099), ('False Positives', 2), ('False Negtaives', 96), ('True Positives', 6), ('Accuracy', 0.9185369908561929), ('Precision', 0.75), ('Recall', 0.058823529411764705), ('F1 Score', 0.10909090909090909), ('Specificity', 0.9981834695731153), ('NPV', 0.9196652719665271), ('FPR', 0.0018165304268846503), ('FDR', 0.25), ('MCC', 0.1953857913953961), ('Confusion Matrix', (1099, 2, 96, 6)), ('ROC_AUC', 0.8592856761233103), ('AUCPR', 0.5935661236761776)]",102
8,"[('True Negtaives', 1095), ('False Positives', 3), ('False Negtaives', 61), ('True Positives', 6), ('Accuracy', 0.9450643776824035), ('Precision', 0.6666666666666666), ('Recall', 0.08955223880597014), ('F1 Score', 0.15789473684210525), ('Specificity', 0.9972677595628415), ('NPV', 0.9472318339100346), ('FPR', 0.00273224043715847), ('FDR', 0.3333333333333333), ('MCC', 0.2308650402696024), ('Confusion Matrix', (1095, 3, 61, 6)), ('ROC_AUC', 0.8258910366201778), ('AUCPR', 0.526922449154896)]",67
9,"[('True Negtaives', 519), ('False Positives', 11), ('False Negtaives', 6), ('True Positives', 242), ('Accuracy', 0.9781491002570694), ('Precision', 0.9565217391304348), ('Recall', 0.9758064516129032), ('F1 Score', 0.9660678642714571), ('Specificity', 0.9792452830188679), ('NPV', 0.9885714285714285), ('FPR', 0.020754716981132074), ('FDR', 0.043478260869565216), ('MCC', 0.9500594029860975), ('Confusion Matrix', (519, 11, 6, 242)), ('ROC_AUC', 0.994647748021911), ('AUCPR', 0.9893673512470786)]",248
10,"[('True Negtaives', 945), ('False Positives', 9), ('False Negtaives', 3), ('True Positives', 15), ('Accuracy', 0.9876543209876543), ('Precision', 0.625), ('Recall', 0.8333333333333334), ('F1 Score', 0.7142857142857143), ('Specificity', 0.9905660377358491), ('NPV', 0.9968354430379747), ('FPR', 0.009433962264150943), ('FDR', 0.375), ('MCC', 0.7157721917115205), ('Confusion Matrix', (945, 9, 3, 15)), ('ROC_AUC', 0.9979035639412999), ('AUCPR', 0.9267826883839956)]",18
11,"[('True Negtaives', 560), ('False Positives', 5), ('False Negtaives', 5), ('True Positives', 126), ('Accuracy', 0.985632183908046), ('Precision', 0.9618320610687023), ('Recall', 0.9618320610687023), ('F1 Score', 0.9618320610687023), ('Specificity', 0.9911504424778761), ('NPV', 0.9911504424778761), ('FPR', 0.008849557522123894), ('FDR', 0.03816793893129771), ('MCC', 0.9529825035465784), ('Confusion Matrix', (560, 5, 5, 126)), ('ROC_AUC', 0.9896237249206241), ('AUCPR', 0.9703932398377714)]",131
12,"[('True Negtaives', 487), ('False Positives', 3), ('False Negtaives', 3), ('True Positives', 13), ('Accuracy', 0.9881422924901185), ('Precision', 0.8125), ('Recall', 0.8125), ('F1 Score', 0.8125), ('Specificity', 0.9938775510204082), ('NPV', 0.9938775510204082), ('FPR', 0.006122448979591836), ('FDR', 0.1875), ('MCC', 0.8063775510204082), ('Confusion Matrix', (487, 3, 3, 13)), ('ROC_AUC', 0.9550382653061225), ('AUCPR', 0.8645566239316239)]",16
13,"[('True Negtaives', 517), ('False Positives', 1), ('False Negtaives', 12), ('True Positives', 279), ('Accuracy', 0.9839307787391842), ('Precision', 0.9964285714285714), ('Recall', 0.9587628865979382), ('F1 Score', 0.9772329246935201), ('Specificity', 0.9980694980694981), ('NPV', 0.9773156899810964), ('FPR', 0.0019305019305019305), ('FDR', 0.0035714285714285713), ('MCC', 0.9652512852624667), ('Confusion Matrix', (517, 1, 12, 279)), ('ROC_AUC', 0.9923177964415079), ('AUCPR', 0.9872923144100756)]",291
14,"[('True Negtaives', 370), ('False Positives', 4), ('False Negtaives', 4), ('True Positives', 39), ('Accuracy', 0.9808153477218226), ('Precision', 0.9069767441860465), ('Recall', 0.9069767441860465), ('F1 Score', 0.9069767441860465), ('Specificity', 0.9893048128342246), ('NPV', 0.9893048128342246), ('FPR', 0.0106951871657754), ('FDR', 0.09302325581395349), ('MCC', 0.8962815570202711), ('Confusion Matrix', (370, 4, 4, 39)), ('ROC_AUC', 0.9777390871782116), ('AUCPR', 0.9535121054754271)]",43
15,"[('True Negtaives', 468), ('False Positives', 3), ('False Negtaives', 1), ('True Positives', 146), ('Accuracy', 0.9935275080906149), ('Precision', 0.9798657718120806), ('Recall', 0.9931972789115646), ('F1 Score', 0.9864864864864865), ('Specificity', 0.9936305732484076), ('NPV', 0.997867803837953), ('FPR', 0.006369426751592357), ('FDR', 0.020134228187919462), ('MCC', 0.9822701891248724), ('Confusion Matrix', (468, 3, 1, 146)), ('ROC_AUC', 0.9937605615494606), ('AUCPR', 0.9949243946283176)]",147
16,"[('True Negtaives', 401), ('False Positives', 1), ('False Negtaives', 7), ('True Positives', 121), ('Accuracy', 0.9849056603773585), ('Precision', 0.9918032786885246), ('Recall', 0.9453125), ('F1 Score', 0.968), ('Specificity', 0.9975124378109452), ('NPV', 0.9828431372549019), ('FPR', 0.0024875621890547263), ('FDR', 0.00819672131147541), ('MCC', 0.9586036441092438), ('Confusion Matrix', (401, 1, 7, 121)), ('ROC_AUC', 0.9788265702736318), ('AUCPR', 0.9775285497649705)]",128
17,"[('True Negtaives', 701), ('False Positives', 11), ('False Negtaives', 5), ('True Positives', 94), ('Accuracy', 0.9802712700369913), ('Precision', 0.8952380952380953), ('Recall', 0.9494949494949495), ('F1 Score', 0.9215686274509803), ('Specificity', 0.9845505617977528), ('NPV', 0.9929178470254958), ('FPR', 0.01544943820224719), ('FDR', 0.10476190476190476), ('MCC', 0.9108117649653236), ('Confusion Matrix', (701, 11, 5, 94)), ('ROC_AUC', 0.9789893315174213), ('AUCPR', 0.9647670559306426)]",99
18,"[('True Negtaives', 336), ('False Positives', 1), ('False Negtaives', 8), ('True Positives', 44), ('Accuracy', 0.9768637532133676), ('Precision', 0.9777777777777777), ('Recall', 0.8461538461538461), ('F1 Score', 0.9072164948453608), ('Specificity', 0.9970326409495549), ('NPV', 0.9767441860465116), ('FPR', 0.002967359050445104), ('FDR', 0.022222222222222223), ('MCC', 0.8971287653063201), ('Confusion Matrix', (336, 1, 8, 44)), ('ROC_AUC', 0.9457886327322529), ('AUCPR', 0.9256533512835114)]",52
19,"[('True Negtaives', 658), ('False Positives', 7), ('False Negtaives', 14), ('True Positives', 66), ('Accuracy', 0.9718120805369127), ('Precision', 0.9041095890410958), ('Recall', 0.825), ('F1 Score', 0.8627450980392157), ('Specificity', 0.9894736842105263), ('NPV', 0.9791666666666666), ('FPR', 0.010526315789473684), ('FDR', 0.0958904109589041), ('MCC', 0.8481776147493991), ('Confusion Matrix', (658, 7, 14, 66)), ('ROC_AUC', 0.9524154135338345), ('AUCPR', 0.8970501970569362)]",80
20,"[('True Negtaives', 626), ('False Positives', 14), ('False Negtaives', 63), ('True Positives', 197), ('Accuracy', 0.9144444444444444), ('Precision', 0.933649289099526), ('Recall', 0.7576923076923077), ('F1 Score', 0.8365180467091295), ('Specificity', 0.978125), ('NPV', 0.9085631349782293), ('FPR', 0.021875), ('FDR', 0.06635071090047394), ('MCC', 0.7872194601189088), ('Confusion Matrix', (626, 14, 63, 197)), ('ROC_AUC', 0.8882872596153846), ('AUCPR', 0.8839585611203328)]",260
21,"[('True Negtaives', 529), ('False Positives', 12), ('False Negtaives', 13), ('True Positives', 87), ('Accuracy', 0.9609984399375975), ('Precision', 0.8787878787878788), ('Recall', 0.87), ('F1 Score', 0.8743718592964824), ('Specificity', 0.977818853974122), ('NPV', 0.9760147601476015), ('FPR', 0.022181146025878003), ('FDR', 0.12121212121212122), ('MCC', 0.8513035849309775), ('Confusion Matrix', (529, 12, 13, 87)), ('ROC_AUC', 0.9437153419593345), ('AUCPR', 0.8964287204556126)]",100
22,"[('True Negtaives', 1573), ('False Positives', 32), ('False Negtaives', 14), ('True Positives', 144), ('Accuracy', 0.973908111174135), ('Precision', 0.8181818181818182), ('Recall', 0.9113924050632911), ('F1 Score', 0.8622754491017964), ('Specificity', 0.9800623052959502), ('NPV', 0.9911783238815375), ('FPR', 0.019937694704049845), ('FDR', 0.18181818181818182), ('MCC', 0.8494162177751277), ('Confusion Matrix', (1573, 32, 14, 144)), ('ROC_AUC', 0.9696951772546236), ('AUCPR', 0.8870142883275374)]",158
23,"[('True Negtaives', 1129), ('False Positives', 5), ('False Negtaives', 23), ('True Positives', 30), ('Accuracy', 0.9764111204717776), ('Precision', 0.8571428571428571), ('Recall', 0.5660377358490566), ('F1 Score', 0.6818181818181818), ('Specificity', 0.9955908289241623), ('NPV', 0.9800347222222222), ('FPR', 0.004409171075837742), ('FDR', 0.14285714285714285), ('MCC', 0.6856987985691144), ('Confusion Matrix', (1129, 5, 23, 30)), ('ROC_AUC', 0.8389238294898673), ('AUCPR', 0.6622635873874436)]",53
