timestep,metrics,total_pos_label
2,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 13), ('Accuracy', 0.9955237242614146), ('Precision', 1.0), ('Recall', 0.7222222222222222), ('F1 Score', 0.8387096774193548), ('Specificity', 1.0), ('NPV', 0.9954710144927537), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8479099529105473), ('Confusion Matrix', (1099, 0, 5, 13)), ('ROC_AUC', 0.9931250631887575), ('AUCPR', 0.5904963048048544)]",18
3,"[('True Negtaives', 1267), ('False Positives', 1), ('False Negtaives', 4), ('True Positives', 7), ('Accuracy', 0.9960906958561376), ('Precision', 0.875), ('Recall', 0.6363636363636364), ('F1 Score', 0.7368421052631579), ('Specificity', 0.999211356466877), ('NPV', 0.996852871754524), ('FPR', 0.0007886435331230284), ('FDR', 0.125), ('MCC', 0.7443976643667308), ('Confusion Matrix', (1267, 1, 4, 7)), ('ROC_AUC', 0.9199885288213364), ('AUCPR', 0.41033111825849444)]",11
4,"[('True Negtaives', 1410), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 24), ('Accuracy', 0.9958333333333333), ('Precision', 1.0), ('Recall', 0.8), ('F1 Score', 0.888888888888889), ('Specificity', 1.0), ('NPV', 0.9957627118644068), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8925302064868872), ('Confusion Matrix', (1410, 0, 6, 24)), ('ROC_AUC', 0.9753664302600472), ('AUCPR', 0.6878012743316927)]",30
5,"[('True Negtaives', 1874), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 2), ('Accuracy', 0.9968119022316685), ('Precision', 1.0), ('Recall', 0.25), ('F1 Score', 0.4), ('Specificity', 1.0), ('NPV', 0.9968085106382979), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4992014900414205), ('Confusion Matrix', (1874, 0, 6, 2)), ('ROC_AUC', 0.6804962646744931), ('AUCPR', 0.2501005220744996)]",8
6,"[('True Negtaives', 464), ('False Positives', 16), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9567010309278351), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9666666666666667), ('NPV', 0.9893390191897654), ('FPR', 0.03333333333333333), ('FDR', 1.0), ('MCC', -0.018851154527185277), ('Confusion Matrix', (464, 16, 5, 0)), ('ROC_AUC', 0.59875), ('AUCPR', 0.04550366337607538)]",5
7,"[('True Negtaives', 1098), ('False Positives', 3), ('False Negtaives', 86), ('True Positives', 16), ('Accuracy', 0.9260182876142976), ('Precision', 0.8421052631578947), ('Recall', 0.1568627450980392), ('F1 Score', 0.2644628099173554), ('Specificity', 0.997275204359673), ('NPV', 0.9273648648648649), ('FPR', 0.0027247956403269754), ('FDR', 0.15789473684210525), ('MCC', 0.3443901097627391), ('Confusion Matrix', (1098, 3, 86, 16)), ('ROC_AUC', 0.8522822389627966), ('AUCPR', 0.4972222100245646)]",102
8,"[('True Negtaives', 1097), ('False Positives', 1), ('False Negtaives', 52), ('True Positives', 15), ('Accuracy', 0.9545064377682403), ('Precision', 0.9375), ('Recall', 0.22388059701492538), ('F1 Score', 0.3614457831325301), ('Specificity', 0.9990892531876139), ('NPV', 0.9547432550043516), ('FPR', 0.0009107468123861566), ('FDR', 0.0625), ('MCC', 0.44603065467806835), ('Confusion Matrix', (1097, 1, 52, 15)), ('ROC_AUC', 0.9007829703939321), ('AUCPR', 0.5242854076420217)]",67
9,"[('True Negtaives', 530), ('False Positives', 0), ('False Negtaives', 248), ('True Positives', 0), ('Accuracy', 0.6812339331619537), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.6812339331619537), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (530, 0, 248, 0)), ('ROC_AUC', 0.9620891661594644), ('AUCPR', 0.9384893322161757)]",248
10,"[('True Negtaives', 954), ('False Positives', 0), ('False Negtaives', 18), ('True Positives', 0), ('Accuracy', 0.9814814814814815), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9814814814814815), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (954, 0, 18, 0)), ('ROC_AUC', 0.8878406708595388), ('AUCPR', 0.6197537572940209)]",18
11,"[('True Negtaives', 565), ('False Positives', 0), ('False Negtaives', 131), ('True Positives', 0), ('Accuracy', 0.8117816091954023), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8117816091954023), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (565, 0, 131, 0)), ('ROC_AUC', 0.027278254407890303), ('AUCPR', 0.10176991581613735)]",131
