timestep,metrics,total_pos_label
2,"[('True Negtaives', 1098), ('False Positives', 1), ('False Negtaives', 1), ('True Positives', 17), ('Accuracy', 0.9982094897045658), ('Precision', 0.9444444444444444), ('Recall', 0.9444444444444444), ('F1 Score', 0.9444444444444444), ('Specificity', 0.9990900818926297), ('NPV', 0.9990900818926297), ('FPR', 0.0009099181073703367), ('FDR', 0.05555555555555555), ('MCC', 0.9435345263370741), ('Confusion Matrix', (1098, 1, 1, 17)), ('ROC_AUC', 0.9958042665049034), ('AUCPR', 0.6580685859549641)]",18
3,"[('True Negtaives', 1268), ('False Positives', 0), ('False Negtaives', 1), ('True Positives', 10), ('Accuracy', 0.9992181391712275), ('Precision', 1.0), ('Recall', 0.9090909090909091), ('F1 Score', 0.9523809523809523), ('Specificity', 1.0), ('NPV', 0.9992119779353822), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9530868404273568), ('Confusion Matrix', (1268, 0, 1, 10)), ('ROC_AUC', 0.9809291654717522), ('AUCPR', 0.5458302861412909)]",11
4,"[('True Negtaives', 1410), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 24), ('Accuracy', 0.9958333333333333), ('Precision', 1.0), ('Recall', 0.8), ('F1 Score', 0.888888888888889), ('Specificity', 1.0), ('NPV', 0.9957627118644068), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8925302064868872), ('Confusion Matrix', (1410, 0, 6, 24)), ('ROC_AUC', 0.8194562647754138), ('AUCPR', 0.2110785435450533)]",30
5,"[('True Negtaives', 1874), ('False Positives', 0), ('False Negtaives', 7), ('True Positives', 1), ('Accuracy', 0.9962805526036131), ('Precision', 1.0), ('Recall', 0.125), ('F1 Score', 0.2222222222222222), ('Specificity', 1.0), ('NPV', 0.9962785752259437), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.35289491623320807), ('Confusion Matrix', (1874, 0, 7, 1)), ('ROC_AUC', 0.8505869797225186), ('AUCPR', 0.17347900486888632)]",8
6,"[('True Negtaives', 480), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9896907216494846), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9896907216494846), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (480, 0, 5, 0)), ('ROC_AUC', 0.33458333333333323), ('AUCPR', 0.01706834496081151)]",5
7,"[('True Negtaives', 1099), ('False Positives', 2), ('False Negtaives', 96), ('True Positives', 6), ('Accuracy', 0.9185369908561929), ('Precision', 0.75), ('Recall', 0.058823529411764705), ('F1 Score', 0.10909090909090909), ('Specificity', 0.9981834695731153), ('NPV', 0.9196652719665271), ('FPR', 0.0018165304268846503), ('FDR', 0.25), ('MCC', 0.1953857913953961), ('Confusion Matrix', (1099, 2, 96, 6)), ('ROC_AUC', 0.5132054638385781), ('AUCPR', 0.16046574412260345)]",102
8,"[('True Negtaives', 1095), ('False Positives', 3), ('False Negtaives', 61), ('True Positives', 6), ('Accuracy', 0.9450643776824035), ('Precision', 0.6666666666666666), ('Recall', 0.08955223880597014), ('F1 Score', 0.15789473684210525), ('Specificity', 0.9972677595628415), ('NPV', 0.9472318339100346), ('FPR', 0.00273224043715847), ('FDR', 0.3333333333333333), ('MCC', 0.2308650402696024), ('Confusion Matrix', (1095, 3, 61, 6)), ('ROC_AUC', 0.5707663866460049), ('AUCPR', 0.21582405278472994)]",67
9,"[('True Negtaives', 530), ('False Positives', 0), ('False Negtaives', 248), ('True Positives', 0), ('Accuracy', 0.6812339331619537), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.6812339331619537), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (530, 0, 248, 0)), ('ROC_AUC', 0.9876597687157638), ('AUCPR', 0.9825877602763239)]",248
10,"[('True Negtaives', 954), ('False Positives', 0), ('False Negtaives', 18), ('True Positives', 0), ('Accuracy', 0.9814814814814815), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9814814814814815), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (954, 0, 18, 0)), ('ROC_AUC', 0.9389121826228743), ('AUCPR', 0.7233434713662434)]",18
11,"[('True Negtaives', 565), ('False Positives', 0), ('False Negtaives', 131), ('True Positives', 0), ('Accuracy', 0.8117816091954023), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8117816091954023), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (565, 0, 131, 0)), ('ROC_AUC', 0.03561440248598257), ('AUCPR', 0.10410819095846655)]",131
12,"[('True Negtaives', 490), ('False Positives', 0), ('False Negtaives', 16), ('True Positives', 0), ('Accuracy', 0.9683794466403162), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9683794466403162), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (490, 0, 16, 0)), ('ROC_AUC', 0.08443877551020408), ('AUCPR', 0.0176139877199365)]",16
13,"[('True Negtaives', 518), ('False Positives', 0), ('False Negtaives', 291), ('True Positives', 0), ('Accuracy', 0.6402966625463535), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.6402966625463535), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (518, 0, 291, 0)), ('ROC_AUC', 0.05026602449282862), ('AUCPR', 0.2101348643319142)]",291
