timestep,metrics,total_pos_label
2,"[('True Negtaives', 953), ('False Positives', 146), ('False Negtaives', 16), ('True Positives', 2), ('Accuracy', 0.8549686660698299), ('Precision', 0.013513513513513514), ('Recall', 0.1111111111111111), ('F1 Score', 0.024096385542168676), ('Specificity', 0.8671519563239308), ('NPV', 0.9834881320949432), ('FPR', 0.13284804367606914), ('FDR', 0.9864864864864865), ('MCC', -0.008073105177985814), ('Confusion Matrix', (953, 146, 16, 2)), ('ROC_AUC', 0.6065615205742594), ('AUCPR', 0.020745812852188447)]",18
3,"[('True Negtaives', 1172), ('False Positives', 96), ('False Negtaives', 7), ('True Positives', 4), ('Accuracy', 0.9194683346364347), ('Precision', 0.04), ('Recall', 0.36363636363636365), ('F1 Score', 0.07207207207207207), ('Specificity', 0.9242902208201893), ('NPV', 0.9940627650551315), ('FPR', 0.07570977917981073), ('FDR', 0.96), ('MCC', 0.09903320452994557), ('Confusion Matrix', (1172, 96, 7, 4)), ('ROC_AUC', 0.7150129050759966), ('AUCPR', 0.025494181183720974)]",11
4,"[('True Negtaives', 1020), ('False Positives', 390), ('False Negtaives', 12), ('True Positives', 18), ('Accuracy', 0.7208333333333333), ('Precision', 0.04411764705882353), ('Recall', 0.6), ('F1 Score', 0.08219178082191782), ('Specificity', 0.723404255319149), ('NPV', 0.9883720930232558), ('FPR', 0.2765957446808511), ('FDR', 0.9558823529411765), ('MCC', 0.10250522033905189), ('Confusion Matrix', (1020, 390, 12, 18)), ('ROC_AUC', 0.7208274231678486), ('AUCPR', 0.05196387701048384)]",30
5,"[('True Negtaives', 1817), ('False Positives', 57), ('False Negtaives', 5), ('True Positives', 3), ('Accuracy', 0.9670563230605739), ('Precision', 0.05), ('Recall', 0.375), ('F1 Score', 0.08823529411764708), ('Specificity', 0.9695837780149413), ('NPV', 0.9972557628979144), ('FPR', 0.030416221985058698), ('FDR', 0.95), ('MCC', 0.12760708958495068), ('Confusion Matrix', (1817, 57, 5, 3)), ('ROC_AUC', 0.8005602988260405), ('AUCPR', 0.04272381917113556)]",8
6,"[('True Negtaives', 232), ('False Positives', 248), ('False Negtaives', 2), ('True Positives', 3), ('Accuracy', 0.4845360824742268), ('Precision', 0.01195219123505976), ('Recall', 0.6), ('F1 Score', 0.0234375), ('Specificity', 0.48333333333333334), ('NPV', 0.9914529914529915), ('FPR', 0.5166666666666667), ('FDR', 0.9880478087649402), ('MCC', 0.016845332410025865), ('Confusion Matrix', (232, 248, 2, 3)), ('ROC_AUC', 0.5175000000000001), ('AUCPR', 0.01226661969575898)]",5
7,"[('True Negtaives', 965), ('False Positives', 136), ('False Negtaives', 66), ('True Positives', 36), ('Accuracy', 0.8320864505403158), ('Precision', 0.20930232558139536), ('Recall', 0.35294117647058826), ('F1 Score', 0.2627737226277373), ('Specificity', 0.8764759309718437), ('NPV', 0.9359844810863239), ('FPR', 0.12352406902815623), ('FDR', 0.7906976744186046), ('MCC', 0.18256855954751905), ('Confusion Matrix', (965, 136, 66, 36)), ('ROC_AUC', 0.734261188580791), ('AUCPR', 0.17161534887147126)]",102
8,"[('True Negtaives', 176), ('False Positives', 922), ('False Negtaives', 2), ('True Positives', 65), ('Accuracy', 0.20686695278969958), ('Precision', 0.06585612968591692), ('Recall', 0.9701492537313433), ('F1 Score', 0.12333965844402275), ('Specificity', 0.16029143897996356), ('NPV', 0.9887640449438202), ('FPR', 0.8397085610200364), ('FDR', 0.9341438703140831), ('MCC', 0.08440789900664192), ('Confusion Matrix', (176, 922, 2, 65)), ('ROC_AUC', 0.7352581355517495), ('AUCPR', 0.1109359749041776)]",67
9,"[('True Negtaives', 203), ('False Positives', 327), ('False Negtaives', 11), ('True Positives', 237), ('Accuracy', 0.5655526992287918), ('Precision', 0.42021276595744683), ('Recall', 0.9556451612903226), ('F1 Score', 0.583743842364532), ('Specificity', 0.38301886792452833), ('NPV', 0.9485981308411215), ('FPR', 0.6169811320754717), ('FDR', 0.5797872340425532), ('MCC', 0.353416163082768), ('Confusion Matrix', (203, 327, 11, 237)), ('ROC_AUC', 0.7964166159464394), ('AUCPR', 0.5850218152271562)]",248
10,"[('True Negtaives', 942), ('False Positives', 12), ('False Negtaives', 15), ('True Positives', 3), ('Accuracy', 0.9722222222222222), ('Precision', 0.2), ('Recall', 0.16666666666666666), ('F1 Score', 0.1818181818181818), ('Specificity', 0.9874213836477987), ('NPV', 0.9843260188087775), ('FPR', 0.012578616352201259), ('FDR', 0.8), ('MCC', 0.1685302253617196), ('Confusion Matrix', (942, 12, 15, 3)), ('ROC_AUC', 0.9355345911949685), ('AUCPR', 0.19028229488816792)]",18
11,"[('True Negtaives', 192), ('False Positives', 373), ('False Negtaives', 8), ('True Positives', 123), ('Accuracy', 0.4525862068965517), ('Precision', 0.24798387096774194), ('Recall', 0.9389312977099237), ('F1 Score', 0.3923444976076555), ('Specificity', 0.3398230088495575), ('NPV', 0.96), ('FPR', 0.6601769911504425), ('FDR', 0.7520161290322581), ('MCC', 0.24078288919100857), ('Confusion Matrix', (192, 373, 8, 123)), ('ROC_AUC', 0.713882321151118), ('AUCPR', 0.30965257025638265)]",131
