timestep,metrics,total_pos_label
2,"[('True Negtaives', 858), ('False Positives', 241), ('False Negtaives', 11), ('True Positives', 7), ('Accuracy', 0.7743957027752909), ('Precision', 0.028225806451612902), ('Recall', 0.3888888888888889), ('F1 Score', 0.05263157894736842), ('Specificity', 0.7807097361237488), ('NPV', 0.9873417721518988), ('FPR', 0.21929026387625114), ('FDR', 0.9717741935483871), ('MCC', 0.05138326503767285), ('Confusion Matrix', (858, 241, 11, 7)), ('ROC_AUC', 0.7152461833990497), ('AUCPR', 0.031541881914237194)]",18
3,"[('True Negtaives', 961), ('False Positives', 307), ('False Negtaives', 3), ('True Positives', 8), ('Accuracy', 0.7576231430805317), ('Precision', 0.025396825396825397), ('Recall', 0.7272727272727273), ('F1 Score', 0.04907975460122699), ('Specificity', 0.7578864353312302), ('NPV', 0.9968879668049793), ('FPR', 0.2421135646687697), ('FDR', 0.9746031746031746), ('MCC', 0.10397918601061824), ('Confusion Matrix', (961, 307, 3, 8)), ('ROC_AUC', 0.8272870662460567), ('AUCPR', 0.033476865320346605)]",11
4,"[('True Negtaives', 1022), ('False Positives', 388), ('False Negtaives', 4), ('True Positives', 26), ('Accuracy', 0.7277777777777777), ('Precision', 0.06280193236714976), ('Recall', 0.8666666666666667), ('F1 Score', 0.11711711711711711), ('Specificity', 0.724822695035461), ('NPV', 0.9961013645224172), ('FPR', 0.275177304964539), ('FDR', 0.9371980676328503), ('MCC', 0.1866565655940365), ('Confusion Matrix', (1022, 388, 4, 26)), ('ROC_AUC', 0.8438061465721041), ('AUCPR', 0.0904474897802197)]",30
5,"[('True Negtaives', 1515), ('False Positives', 359), ('False Negtaives', 3), ('True Positives', 5), ('Accuracy', 0.8076514346439958), ('Precision', 0.013736263736263736), ('Recall', 0.625), ('F1 Score', 0.02688172043010753), ('Specificity', 0.8084311632870864), ('NPV', 0.9980237154150198), ('FPR', 0.19156883671291355), ('FDR', 0.9862637362637363), ('MCC', 0.07139426758341799), ('Confusion Matrix', (1515, 359, 3, 5)), ('ROC_AUC', 0.8282417289220918), ('AUCPR', 0.17380428683877638)]",8
6,"[('True Negtaives', 203), ('False Positives', 277), ('False Negtaives', 2), ('True Positives', 3), ('Accuracy', 0.4247422680412371), ('Precision', 0.010714285714285714), ('Recall', 0.6), ('F1 Score', 0.02105263157894737), ('Specificity', 0.42291666666666666), ('NPV', 0.9902439024390244), ('FPR', 0.5770833333333333), ('FDR', 0.9892857142857143), ('MCC', 0.004685987464063105), ('Confusion Matrix', (203, 277, 2, 3)), ('ROC_AUC', 0.46875), ('AUCPR', 0.011448755342699313)]",5
7,"[('True Negtaives', 945), ('False Positives', 156), ('False Negtaives', 47), ('True Positives', 55), ('Accuracy', 0.8312551953449709), ('Precision', 0.26066350710900477), ('Recall', 0.5392156862745098), ('F1 Score', 0.3514376996805112), ('Specificity', 0.8583106267029973), ('NPV', 0.9526209677419355), ('FPR', 0.14168937329700274), ('FDR', 0.7393364928909952), ('MCC', 0.2911806842887043), ('Confusion Matrix', (945, 156, 47, 55)), ('ROC_AUC', 0.8299496001852149), ('AUCPR', 0.22361386854344867)]",102
8,"[('True Negtaives', 351), ('False Positives', 747), ('False Negtaives', 0), ('True Positives', 67), ('Accuracy', 0.3587982832618026), ('Precision', 0.08230958230958231), ('Recall', 1.0), ('F1 Score', 0.15209988649262202), ('Specificity', 0.319672131147541), ('NPV', 1.0), ('FPR', 0.680327868852459), ('FDR', 0.9176904176904177), ('MCC', 0.16220998610063472), ('Confusion Matrix', (351, 747, 0, 67)), ('ROC_AUC', 0.8685126281162494), ('AUCPR', 0.18358230592215713)]",67
9,"[('True Negtaives', 202), ('False Positives', 328), ('False Negtaives', 4), ('True Positives', 244), ('Accuracy', 0.5732647814910026), ('Precision', 0.42657342657342656), ('Recall', 0.9838709677419355), ('F1 Score', 0.5951219512195121), ('Specificity', 0.38113207547169814), ('NPV', 0.9805825242718447), ('FPR', 0.6188679245283019), ('FDR', 0.5734265734265734), ('MCC', 0.38550377575461514), ('Confusion Matrix', (202, 328, 4, 244)), ('ROC_AUC', 0.8207927571515521), ('AUCPR', 0.5774831211307015)]",248
10,"[('True Negtaives', 921), ('False Positives', 33), ('False Negtaives', 12), ('True Positives', 6), ('Accuracy', 0.9537037037037037), ('Precision', 0.15384615384615385), ('Recall', 0.3333333333333333), ('F1 Score', 0.21052631578947367), ('Specificity', 0.9654088050314465), ('NPV', 0.9871382636655949), ('FPR', 0.03459119496855346), ('FDR', 0.8461538461538461), ('MCC', 0.20522667069260936), ('Confusion Matrix', (921, 33, 12, 6)), ('ROC_AUC', 0.9022245515956208), ('AUCPR', 0.13002945499110896)]",18
11,"[('True Negtaives', 142), ('False Positives', 423), ('False Negtaives', 0), ('True Positives', 131), ('Accuracy', 0.3922413793103448), ('Precision', 0.2364620938628159), ('Recall', 1.0), ('F1 Score', 0.38248175182481753), ('Specificity', 0.2513274336283186), ('NPV', 1.0), ('FPR', 0.7486725663716814), ('FDR', 0.7635379061371841), ('MCC', 0.24378148248158657), ('Confusion Matrix', (142, 423, 0, 131)), ('ROC_AUC', 0.7041005201648315), ('AUCPR', 0.2690828014166984)]",131
12,"[('True Negtaives', 422), ('False Positives', 68), ('False Negtaives', 5), ('True Positives', 11), ('Accuracy', 0.8557312252964426), ('Precision', 0.13924050632911392), ('Recall', 0.6875), ('F1 Score', 0.23157894736842105), ('Specificity', 0.8612244897959184), ('NPV', 0.9882903981264637), ('FPR', 0.13877551020408163), ('FDR', 0.8607594936708861), ('MCC', 0.2645360665024693), ('Confusion Matrix', (422, 68, 5, 11)), ('ROC_AUC', 0.8876275510204081), ('AUCPR', 0.17147189689592465)]",16
13,"[('True Negtaives', 182), ('False Positives', 336), ('False Negtaives', 1), ('True Positives', 290), ('Accuracy', 0.5834363411619283), ('Precision', 0.46325878594249204), ('Recall', 0.9965635738831615), ('F1 Score', 0.6324972737186477), ('Specificity', 0.35135135135135137), ('NPV', 0.994535519125683), ('FPR', 0.6486486486486487), ('FDR', 0.536741214057508), ('MCC', 0.3990908059835254), ('Confusion Matrix', (182, 336, 1, 290)), ('ROC_AUC', 0.798750149265613), ('AUCPR', 0.5807642848295356)]",291
14,"[('True Negtaives', 169), ('False Positives', 205), ('False Negtaives', 1), ('True Positives', 42), ('Accuracy', 0.5059952038369304), ('Precision', 0.1700404858299595), ('Recall', 0.9767441860465116), ('F1 Score', 0.28965517241379307), ('Specificity', 0.45187165775401067), ('NPV', 0.9941176470588236), ('FPR', 0.5481283422459893), ('FDR', 0.8299595141700404), ('MCC', 0.26525605863927787), ('Confusion Matrix', (169, 205, 1, 42)), ('ROC_AUC', 0.7910085810222609), ('AUCPR', 0.2217218777640558)]",43
